deptAcronym,shortcode,uniqueId,department,projectName,description,totalBudget,estimatedCompletionDate,rawProvidedDate,yearsRemaining,originalDocumentOrder,source,asOfDate,isOver10M,isOver100M
aafc,pssstp,aafc-pssstp,Agriculture and Agri-Food Canada,MyGCHR,"PeopleSoft Shared Service Transition Project - Transition to the new, TBS mandated, HR service system (My GC HR), One Process (the Common Human Resources Business Processes - CHRBP), and One Set of Data
 (Common Configuration Standard).","$6,279,429","December 1, 2016","December 1, 2016",0.5,1,8555-421-266,"June 9, 2016",0,0
aafc,lti,aafc-lti,Agriculture and Agri-Food Canada,Library Transformation Initiative,"Library Transformation Initiative - Modernizing the delivery of information
 services and centralization of science related resources in partnership with
 other science departments.","$2,788,000","March 31, 2017","March 31, 2017",0.8,2,8555-421-266,"June 9, 2016",0,0
aafc,ogii,aafc-ogii,Agriculture and Agri-Food Canada,Open Government Implementation Initiative,"Open Government Implementation Initiative-To develop the Inventory,
 processes, datasets, workflows, guides, and checklists required for the loublication of MFC data to the TBS Open Government portal.","$2,724,000","March 31, 2020","March 31, 2020",3.8,3,8555-421-266,"June 9, 2016",0,0
aafc,dcalcrbc,aafc-dcalcrbc,Agriculture and Agri-Food Canada,Canadian Agricultural Library Corporate and Rare Book Collection Digitization,"Digitization of the Canadian Agricultural Library's (CAL) Corporate and Rare Book Collection - To digitize 27,000 departmental publications and rare books over the course of three years.","$1,830,000","March 31, 2019","March 31, 2019",2.8,4,8555-421-266,"June 9, 2016",0,0
aafc,grdisppdap,aafc-grdisppdap,Agriculture and Agri-Food Canada,Genomics Research and Development Initiative,"Genomics Research and Development Initiative Shared Priorities
 Projects Data Analysis Pla.tform - This platform will sit on the the GRDI infrastructure project being delivered by Shared Services Canada.","$1,730,000","March 31, 2019","March 31, 2019",2.8,5,8555-421-266,"June 9, 2016",0,0
aafc,supsd,aafc-supsd,Agriculture and Agri-Food Canada,Secure Use of Portable Storage Devices,"Secure Use of Portable Storage Devices - In order to adhere to TBS direction, MFC will need to develop and implement policy Instruments, technology and supporting processes to ensure that GC devices are encrypted and properly managed and that non-GC devices will become read
 only and scanned to reduce the likelihood of malware introduction when attached to the network.","$1,668,288","October 31, 2016","October 31, 2016",0.4,6,8555-421-266,"June 9, 2016",0,0
aafc,etir,aafc-etir,Agriculture and Agri-Food Canada,Email Transformation Initiative,"Email Transformation Initiative Readiness - To prepare for the migration
 to the GC email olatform.","$1,369,000","December 31, 2016","December 31, 2016",0.6,7,8555-421-266,"June 9, 2016",0,0
aafc,wri,aafc-wri,Agriculture and Agri-Food Canada,Web Renewal Initiative,"Web Renewal Initiative - All active web content, including some
 applications, must be migrated to Canada.ca by December 2017. The main business driver and goal for the MFC Web Renewal Project is to achieve comoliance with the TBS-lead Web Renewal Initiative.","$1,331,000","December 31, 2017","December 31, 2017",1.6,8,8555-421-266,"June 9, 2016",0,0
aafc,wmi,aafc-wmi,Agriculture and Agri-Food Canada,Workload Migration,"Workload Migration Implementation - To complete migration for 4 systems
 to the Enterprise Data Centre (EDC) with adequate network connectivity.
 Also Included Is the migration of approximately 20 applications off the Windows 2003 server.","$1,045,000","March 31, 2017","March 31, 2017",0.8,9,8555-421-266,"June 9, 2016",0,0
aafc,gcsi,aafc-gcsi,Agriculture and Agri-Food Canada,Government of Canada Secret Infrastructure,"Onboarding to Interim Government of Canada Secr_etlnfrastructure
 (IGCSI) Implementation - In support of the requirement to protect classified information assets, Shared Services Canada. will implement the technology required to onboard MFC to the Interim Government of Canada Secret
 Infrastructure (iGCSI) system. iGCSI is authorized for storing and processing Classified information up to Level II Secret and is currently used by a
 number of other deoartments.","$1,038,000","March 31, 2017","March 31, 2017",0.8,10,8555-421-266,"June 9, 2016",0,0
