deptAcronym,shortcode,uniqueId,department,latestProjectName,latestDescription,numOfEntries,originalBudget,latestBudget,originalBudgetSource,latestBudgetSource,originalEstimatedCompletionDate,latestEstimatedCompletionDate,originalEstimatedCompletionDateSource,latestEstimatedCompletionDateSource,budgetDelta,budgetDeltaPercentage,datesDelta,estimatedStatus,isOver10M,isOver100M
aafc,agriclient-crm,aafc-agriclient-crm,Agriculture and Agri-Food Canada,Departmental Client Relationship Management (CRM) Software (a.k.a. AgriClient),"To implement a departmental Client Relationship Management (CRM) solution to better track and holistically understand client interactions and efficiently manage contact data. This project will establish modern CRM tools and migrate existing data into the new system, thereby enabling staff to maintain better relationships with Canadians.",1,2812101,2812101,2022,2022,2022-07-31,2022-07-31,2022,2022,,,,new,0,0
aafc,biomob,aafc-biomob,Agriculture and Agri-Food Canada,BioMOB (Biological Collections and Data Mobilization) - Work Package 3 Data Integration and Information Sharing,"To support the capture of label data and generate images and/or DNA sequences of the AAFC Biological Collections. The science initiative will complement initiatives in other countries which aim to digitize a portion of their holdings over multiple years. Overall, more than 7.6 million data records will be digitized. Canada will provide global leadership by also including DNA sequence data to its initiative. This project is to meet the IM/IT enabling needs of AAFC's BioMOB (Biological Collections and Data Mobilization) science initiative.",1,4571000,4571000,2022,2022,2023-03-31,2023-03-31,2022,2022,,,,new,0,0
aafc,boardroom-modernization,aafc-boardroom-modernization,Agriculture and Agri-Food Canada,Boardroom Modernization,"The boardroom modernization project will upgrade the technology and ensure AAFC boardrooms are safe, comply with GC accessibility standards, and have the functionality required of AAFC employees. AAFC boardrooms are a resource used by all branches of AAFC.",1,2408600,2408600,2022,2022,2024-03-31,2024-03-31,2022,2022,,,,new,0,0
aafc,cnsc-sap,aafc-cnsc-sap,Agriculture and Agri-Food Canada,SAP Cluster Solution,On boarding of the Canadian Nuclear Safety Commission to the MFG SAP Cluster Solution - Replacement of the Canadian Nuclear Safety Commission's (CNSC) current FreeBalance Management System and its supporting databases with an integrated SAP solution hosted by MFC.,1,6441134,6441134,2019,2019,2019-06-25,2019-06-25,2019,2019,,,,completed,0,0
aafc,dcalcrbc,aafc-dcalcrbc,Agriculture and Agri-Food Canada,Canadian Agricultural Library Corporate and Rare Book Collection Digitization,"Digitization of the Canadian Agricultural Library's (CAL) Corporate and Rare Book Collection - To digitize 27,000 departmental publications and rare books over the course of three years.",1,1830000,1830000,2016,2016,2019-03-31,2019-03-31,2016,2016,,,,completed,0,0
aafc,dina-geo,aafc-dina-geo,Agriculture and Agri-Food Canada,Data Integration and Information Sharing,DINA-AAFC System for Data Integration and Information Sharing for BioMob WP-3 - Consolidate collection management tools and develop a portal to make quality new and legacy georeferenced data publicly available in compliance with GC Geospatial Standards.,1,1175000,1175000,2019,2019,2020-04-28,2020-04-28,2019,2019,,,,completed,0,0
aafc,e-discovery,aafc-e-discovery,Agriculture and Agri-Food Canada,e-Discovery Solution,e-Oiscovery Solution - Implement a robust system to manage all aspects of litigation e-Discovery.,1,1235000,1235000,2019,2019,,,,,,,,unknown (past due),0,0
aafc,etir,aafc-etir,Agriculture and Agri-Food Canada,Email Transformation Initiative,Email Transformation Initiative Readiness - To prepare for the migration to the GC email olatform.,1,1369000,1369000,2016,2016,2016-12-31,2016-12-31,2016,2016,,,,completed,0,0
aafc,gc-admin,aafc-gc-admin,Agriculture and Agri-Food Canada,Streamline Grants and Contributions Program Administration,"Streamline Grants & Contributions program administration; provide a flexible and integrated program delivery, management and reporting; and improve the client service experience.",1,2601765,2601765,2019,2019,2022-03-29,2022-03-29,2019,2019,,,,completed,0,0
aafc,gcdp-crm,aafc-gcdp-crm,Agriculture and Agri-Food Canada,Grants and Contributions Digital Platform (GCDP) - Release 1,"To streamline the grants and contributions program administration, integrated program delivery, and management and reporting function, while improving client experience. The foundational Client Relationship Model for non-business risk management programs to be integrated with AAFC's client relationship management solution. This will align AAFC with Government of Canada digital policy and standards.",2,11195560,21289200,2019,2022,2021-07-27,2022-09-30,2019,2022,10093640,90.16,1.18,behind schedule,1,0
